Date,Price,Open,High,Low,Vol.,Change %
01/03/2016,448.3,433.7,462.9,423.1,457.61K,3.36%
01/10/2016,385,448.3,451.1,350.4,735.95K,-14.11%
01/17/2016,388.6,385,425.7,373.2,688.23K,0.93%
01/24/2016,377.8,388.6,405.4,363.5,484.64K,-2.79%
01/31/2016,376.7,377.8,391.8,365.3,465.80K,-0.29%
02/07/2016,390.1,376.7,392.6,371.4,420.40K,3.56%
02/14/2016,440.1,390.1,442.7,390.1,559.58K,12.81%
02/21/2016,431.3,440.1,447.6,410.4,466.28K,-1.99%
02/28/2016,399,431.3,441.3,386.9,528.15K,-7.49%
03/06/2016,410.4,399,422.4,393.1,405.06K,2.85%
03/13/2016,408.7,410.4,419.6,402.1,324.33K,-0.41%
03/20/2016,416.5,408.7,419.6,407.2,264.86K,1.91%
03/27/2016,418.5,416.5,427.4,406.4,328.93K,0.48%
04/03/2016,418,418.5,423.7,412.4,242.22K,-0.11%
04/10/2016,430,418,432,416.7,269.29K,2.87%
04/17/2016,450.1,430,451.5,423.8,333.40K,4.66%
04/24/2016,448.5,450.1,468.9,433.9,476.55K,-0.34%
05/01/2016,458.5,448.5,461.5,440.2,326.08K,2.21%
05/08/2016,456.4,458.5,464.2,446.8,277.91K,-0.44%
05/15/2016,443.6,456.4,460.3,435.4,255.85K,-2.80%
05/22/2016,524.2,443.6,531.8,436.9,459.13K,18.16%
05/29/2016,572,524.2,592.7,493.2,663.12K,9.10%
06/05/2016,591.6,572,592.6,543.6,398.83K,3.44%
06/12/2016,753.8,591.6,776,592.8,1.21M,27.41%
06/19/2016,663.5,753.8,765.1,539.3,1.18M,-11.97%
06/26/2016,698.1,663.5,700.5,609.9,593.43K,5.21%
07/03/2016,651.8,698.1,701.5,605,590.38K,-6.62%
07/10/2016,660.7,651.8,673.2,636.8,309.16K,1.36%
07/17/2016,655.2,660.7,680.9,645.7,285.32K,-0.84%
07/24/2016,654.7,655.2,664.2,643.5,217.98K,-0.06%
07/31/2016,586.5,654.7,654.9,471.4,444.48K,-10.43%
08/07/2016,584.6,586.5,600.5,580.9,211.25K,-0.32%
08/14/2016,582.6,584.6,585.8,559.3,216.33K,-0.34%
08/21/2016,570.3,582.6,591.9,567.3,180.45K,-2.10%
08/28/2016,598.8,570.3,705,569.2,177.29K,5.00%
09/04/2016,624.5,598.8,629.3,590.8,190.28K,4.29%
09/11/2016,607.1,624.5,630.8,592.8,176.68K,-2.79%
09/18/2016,602.6,607.1,612.4,591.7,158.87K,-0.74%
09/25/2016,613.4,602.6,615,598.2,151.47K,1.80%
10/02/2016,617.7,613.4,619.6,606.5,154.85K,0.69%
10/09/2016,637,617.7,642.5,612.8,190.80K,3.14%
10/16/2016,655.5,637,659.9,624.1,186.59K,2.90%
10/23/2016,715,655.5,720.2,645.7,279.12K,9.07%
10/30/2016,702.1,715,744.4,670.4,351.15K,-1.80%
11/06/2016,704.3,702.1,741.2,697.6,253.50K,0.31%
11/13/2016,747.9,704.3,755.3,685,322.97K,6.19%
11/20/2016,734.1,747.9,754,712.8,250.91K,-1.84%
11/27/2016,764.2,734.1,779,727.1,283.01K,4.10%
12/04/2016,774,764.2,777,746,209.60K,1.28%
12/11/2016,787.2,774,791.6,763,181.20K,1.70%
12/18/2016,891.1,787.2,920.5,783.8,358.58K,13.20%
12/25/2016,963.4,891.1,982.6,851.4,367.77K,8.11%
01/01/2017,888.9,963.4,"1,150.60",806.7,1.65M,-7.73%
01/08/2017,819.6,888.9,936.1,739.5,641.94K,-7.79%
01/15/2017,919.8,819.6,928.9,808.6,346.77K,12.23%
01/22/2017,918.5,919.8,938.4,883.6,256.52K,-0.14%
01/29/2017,"1,031.80",918.5,"1,041.00",911.5,282.01K,12.34%
02/05/2017,"1,008.30","1,031.80","1,073.00",924.7,404.97K,-2.28%
02/12/2017,"1,052.30","1,008.30","1,063.20",975.1,219.71K,4.36%
02/19/2017,"1,149.10","1,052.30","1,211.70","1,037.70",373.70K,9.20%
02/26/2017,"1,264.30","1,149.10","1,291.30","1,130.60",352.15K,10.03%
03/05/2017,"1,179.20","1,264.30","1,330.40",988.7,563.14K,-6.73%
03/12/2017,971.4,"1,179.20","1,260.20",940.2,700.54K,-17.63%
03/19/2017,966.3,971.4,"1,125.50",890.4,691.92K,-0.52%
03/26/2017,"1,086.10",966.3,"1,103.70",946.7,542.07K,12.40%
04/02/2017,"1,180.80","1,086.10","1,201.60","1,074.20",495.23K,8.72%
04/09/2017,"1,177.00","1,180.80","1,229.60",841.5,309.20K,-0.32%
04/16/2017,"1,240.90","1,177.00","1,257.00","1,166.70",301.86K,5.43%
04/23/2017,"1,336.30","1,240.90","1,356.20","1,223.10",364.25K,7.69%
04/30/2017,"1,545.30","1,336.30","1,609.80","1,309.70",609.50K,15.64%
05/07/2017,"1,763.70","1,545.30","1,864.80","1,495.20",689.31K,14.14%
05/14/2017,"2,040.20","1,763.70","2,048.40","1,653.70",552.75K,15.67%
05/21/2017,"2,052.40","2,040.20","2,781.80","1,868.60",1.18M,0.60%
05/28/2017,"2,545.40","2,052.40","2,582.80","2,051.10",732.63K,24.02%
06/04/2017,"2,900.30","2,545.40","2,931.20","2,478.20",710.05K,13.94%
06/11/2017,"2,655.10","2,900.30","2,985.10","2,125.60",1.07M,-8.45%
06/18/2017,"2,590.10","2,655.10","2,804.40","2,488.60",623.37K,-2.45%
06/25/2017,"2,424.60","2,590.10","2,660.70","2,309.60",737.13K,-6.39%
07/02/2017,"2,564.90","2,424.60","2,658.70","2,375.90",526.68K,5.78%
07/09/2017,"1,975.10","2,564.90","2,576.70","1,974.00",777.01K,-22.99%
07/16/2017,"2,836.50","1,975.10","2,932.80","1,809.00",1.35M,43.62%
07/23/2017,"2,733.50","2,836.50","2,856.70","2,441.50",859.86K,-3.63%
07/30/2017,"3,262.80","2,733.50","3,344.00","2,621.70",675.09K,19.36%
08/06/2017,"3,871.60","3,262.80","3,967.30","3,166.50",644.93K,18.66%
08/13/2017,"4,150.50","3,871.60","4,487.50","3,837.10",997.13K,7.20%
08/20/2017,"4,352.30","4,150.50","4,461.70","3,612.20",628.02K,4.86%
08/27/2017,"4,573.80","4,352.30","4,976.50","4,195.20",622.35K,5.09%
09/03/2017,"4,335.10","4,573.80","4,719.80","4,004.60",870.55K,-5.22%
09/10/2017,"3,698.90","4,335.10","4,387.80","2,979.90",1.43M,-14.68%
09/17/2017,"3,788.00","3,698.90","4,122.80","3,485.80",781.52K,2.41%
09/24/2017,"4,360.60","3,788.00","4,383.30","3,633.90",588.23K,15.12%
10/01/2017,"4,435.80","4,360.60","4,477.40","4,143.40",443.24K,1.72%
10/08/2017,"5,824.70","4,435.80","5,852.80","4,419.40",805.69K,31.31%
10/15/2017,"6,006.60","5,824.70","6,187.20","5,114.90",670.51K,3.12%
10/22/2017,"5,726.60","6,006.60","6,070.60","5,375.60",722.59K,-4.66%
10/29/2017,"7,363.80","5,726.60","7,492.20","5,679.40",976.41K,28.59%
11/05/2017,"6,339.90","7,363.80","7,869.10","6,197.90",1.07M,-13.91%
11/12/2017,"7,780.90","6,339.90","8,000.20","5,493.60",1.00M,22.73%
11/19/2017,"8,754.70","7,781.00","8,762.00","7,675.40",551.27K,12.51%
11/26/2017,"10,912.70","8,754.60","11,417.80","8,746.60",919.63K,24.65%
12/03/2017,"14,843.40","10,912.70","17,294.80","10,578.40",1.26M,36.02%
12/10/2017,"19,345.50","14,840.00","19,587.70","13,031.00",1.02M,30.33%
12/17/2017,"14,396.50","19,346.60","19,870.60","10,875.70",1.46M,-25.58%
12/24/2017,"12,531.50","14,396.60","16,514.60","11,962.10",1.04M,-12.95%
12/31/2017,"17,172.30","12,532.40","17,252.80","12,359.40",770.83K,37.03%
01/07/2018,"14,292.20","17,174.50","17,184.80","13,048.30",691.25K,-16.77%
01/14/2018,"12,858.90","14,291.90","14,446.10","12,858.90",1.39M,-10.03%
01/21/2018,"11,467.50","12,857.10","12,860.20","10,056.60",1.33M,-10.82%
01/28/2018,"9,241.10","11,471.20","12,112.70","7,915.80",1.89M,-19.41%
02/04/2018,"8,559.60","9,241.50","9,382.10","8,559.60",3.00M,-7.37%
02/11/2018,"11,073.50","8,559.70","11,095.90","7,843.70",1.64M,29.37%
02/18/2018,"9,704.30","11,073.70","11,791.50","9,394.50",1.93M,-12.36%
02/25/2018,"11,402.30","9,703.10","11,420.70","9,330.10",1.41M,17.50%
03/04/2018,"8,762.00","11,402.80","11,506.90","8,351.00",1.66M,-23.16%
03/11/2018,"7,874.90","8,732.20","9,892.20","7,691.70",1.84M,-10.12%
03/18/2018,"8,547.40","7,873.20","9,173.40","7,323.30",1.75M,8.54%
03/25/2018,"6,938.20","8,549.10","8,679.00","6,603.80",1.80M,-18.83%
04/01/2018,"6,905.70","6,939.10","7,519.30","6,460.10",1.50M,-0.47%
04/08/2018,"8,004.40","6,905.90","8,228.00","6,633.20",1.51M,15.91%
04/15/2018,"8,923.10","8,004.60","9,027.70","7,852.80",1.27M,11.48%
04/22/2018,"9,352.40","8,923.60","9,753.10","8,669.80",1.60M,4.81%
04/29/2018,"9,853.50","9,352.20","9,992.80","8,851.00",1.17M,5.36%
05/06/2018,"8,459.50","9,859.40","9,957.70","8,184.10",1.26M,-14.15%
05/13/2018,"8,245.10","8,483.60","8,758.40","8,055.50",1.14M,-2.53%
05/20/2018,"7,361.30","8,243.90","8,597.40","7,293.40",1.08M,-10.72%
05/27/2018,"7,646.60","7,361.90","7,694.50","7,069.80",984.53K,3.88%
06/03/2018,"7,515.80","7,646.60","7,775.00","7,391.00",868.03K,-1.71%
06/10/2018,"6,505.80","7,515.80","7,516.30","6,129.10",1.32M,-13.44%
06/17/2018,"6,167.30","6,505.80","6,839.50","5,955.00",988.81K,-5.20%
06/24/2018,"6,398.90","6,167.90","6,498.50","5,785.30",1.34M,3.76%
07/01/2018,"6,765.50","6,398.50","6,805.90","6,398.50",1.03M,5.73%
07/08/2018,"6,254.80","6,765.40","6,793.80","6,088.80",1.88M,-7.55%
07/15/2018,"7,408.70","6,254.80","7,683.60","6,238.50",1.92M,18.45%
07/22/2018,"8,234.10","7,409.00","8,484.60","7,343.70",1.80M,11.14%
07/29/2018,"7,014.30","8,231.50","8,275.40","6,949.70",1.55M,-14.81%
08/05/2018,"6,231.60","7,014.00","7,149.70","6,009.80",1.71M,-11.16%
08/12/2018,"6,379.10","6,232.10","6,626.40","5,898.30",17.63M,2.37%
08/19/2018,"6,734.80","6,379.10","6,840.80","6,255.90",20.84M,5.58%
08/26/2018,"7,189.60","6,734.90","7,264.30","6,573.10",26.36M,6.75%
09/02/2018,"6,184.30","7,189.60","7,409.90","6,132.30",26.79M,-13.98%
09/09/2018,"6,519.00","6,184.30","6,867.30","6,148.80",22.18M,5.41%
09/16/2018,"6,729.60","6,519.00","6,833.30","6,144.50",33.27M,3.23%
09/23/2018,"6,603.90","6,729.60","6,809.20","5,977.00",59.02M,-1.87%
09/30/2018,"6,596.30","6,603.90","6,682.30","6,034.90",64.74M,-0.12%
10/07/2018,"6,321.70","6,596.30","6,699.50","6,206.20",907.69K,-4.16%
10/14/2018,"6,572.20","6,321.60","7,358.40","6,300.00",1.21M,3.96%
10/21/2018,"6,494.20","6,575.90","6,643.10","6,473.70",685.44K,-1.19%
10/28/2018,"6,386.20","6,494.60","6,502.20","6,257.80",897.36K,-1.66%
11/04/2018,"6,427.10","6,386.20","6,594.30","6,359.70",1.04M,0.64%
11/11/2018,"5,621.80","6,427.10","6,475.90","5,384.10",1.64M,-12.53%
11/18/2018,"3,920.40","5,621.00","5,727.90","3,821.50",2.69M,-30.26%
11/25/2018,"4,196.20","3,920.30","4,440.10","3,634.20",3.46M,7.03%
12/02/2018,"3,430.40","4,196.20","4,316.10","3,251.80",2.98M,-18.25%
12/09/2018,"3,228.70","3,430.30","3,677.60","3,177.00",2.82M,-5.88%
12/16/2018,"3,964.40","3,228.60","4,153.10","3,225.90",4.77M,22.79%
12/23/2018,"3,706.80","3,964.30","4,208.20","3,560.80",4.18M,-6.50%
12/30/2018,"3,785.40","3,708.20","3,894.80","3,658.80",3.52M,2.12%
01/06/2019,"3,597.20","3,785.70","4,070.50","3,561.30",3.80M,-4.97%
01/13/2019,"3,677.80","3,597.30","3,715.20","3,473.20",3.50M,2.24%
01/20/2019,"3,570.90","3,676.20","3,699.10","3,465.20",3.16M,-2.91%
01/27/2019,"3,502.50","3,570.90","3,583.20","3,368.20",3.68M,-1.92%
02/03/2019,"3,661.40","3,502.30","3,721.10","3,382.50",3.78M,4.54%
02/10/2019,"3,616.80","3,661.00","3,681.10","3,580.20",3.65M,-1.22%
02/17/2019,"4,120.40","3,616.80","4,152.60","3,607.90",5.61M,13.92%
02/24/2019,"3,823.10","4,120.50","4,194.20","3,701.90",12.42M,-7.21%
03/03/2019,"3,944.30","3,823.20","3,964.00","3,681.80",19.19M,3.17%
03/10/2019,"4,006.40","3,944.40","4,050.60","3,817.10",19.44M,1.57%
03/17/2019,"4,002.50","4,006.40","4,064.00","3,923.80",20.06M,-0.10%
03/24/2019,"4,111.80","4,002.60","4,138.10","3,897.90",19.14M,2.73%
03/31/2019,"5,046.20","4,111.80","5,278.40","4,076.80",36.99M,22.73%
04/07/2019,"5,051.80","5,046.10","5,404.10","4,889.20",5.83M,0.11%
04/14/2019,"5,290.20","5,052.00","5,327.00","4,964.20",4.90M,4.72%
04/21/2019,"5,265.90","5,290.20","5,594.40","5,137.40",6.56M,-0.46%
04/28/2019,"5,830.90","5,265.70","5,899.20","5,188.90",5.56M,10.73%
05/05/2019,"7,190.30","5,830.80","7,373.80","5,630.50",5.78M,23.31%
05/12/2019,"7,262.60","7,190.00","8,323.90","6,802.60",9.03M,1.01%
05/19/2019,"8,027.40","7,261.90","8,253.40","7,252.30",6.20M,10.53%
05/26/2019,"8,545.70","8,029.60","9,045.90","7,866.50",20.69M,6.46%
06/02/2019,"7,901.40","8,545.80","8,807.70","7,480.40",4.88M,-7.54%
06/09/2019,"8,812.50","7,901.60","8,856.70","7,516.90",4.24M,11.53%
06/16/2019,"10,721.70","8,812.20","11,160.50","8,771.10",5.15M,21.66%
06/23/2019,"11,906.50","10,721.50","13,929.80","10,493.50",7.21M,11.05%
06/30/2019,"11,268.00","11,906.00","12,179.30","9,728.50",6.41M,-5.36%
07/07/2019,"11,364.90","11,267.90","13,134.40","10,839.40",5.64M,0.86%
07/14/2019,"10,826.70","11,364.30","11,448.70","9,082.60",6.29M,-4.74%
07/21/2019,"9,492.10","10,827.00","10,883.80","9,389.10",4.02M,-12.33%
07/28/2019,"10,815.70","9,491.10","10,893.60","9,401.10",3.89M,13.94%
08/04/2019,"11,314.50","10,816.10","12,291.90","10,568.80",4.55M,4.61%
08/11/2019,"10,218.10","11,314.60","11,728.40","9,580.10",4.62M,-9.69%
08/18/2019,"10,131.00","10,219.30","10,941.60","9,777.00",3.57M,-0.85%
08/25/2019,"9,594.40","10,132.10","10,568.20","9,343.00",3.29M,-5.30%
09/01/2019,"10,461.10","9,594.70","10,896.20","9,533.60",3.62M,9.03%
09/08/2019,"10,337.30","10,461.60","10,578.00","9,908.90",2.74M,-1.18%
09/15/2019,"9,993.00","10,337.30","10,360.50","9,707.60",2.51M,-3.33%
09/22/2019,"8,208.50","9,993.00","10,075.00","7,773.60",4.23M,-17.86%
09/29/2019,"8,127.30","8,208.00","8,486.20","7,749.00",3.23M,-0.99%
10/06/2019,"8,304.40","8,127.30","8,751.10","7,797.00",4.00M,2.18%
10/13/2019,"7,957.30","8,304.30","8,450.20","7,842.00",3.38M,-4.18%
10/20/2019,"9,230.60","7,957.40","10,540.00","7,329.20",4.23M,16.00%
10/27/2019,"9,300.60","9,230.60","9,866.90","8,959.60",6.08M,0.76%
11/03/2019,"8,804.50","9,300.50","9,500.40","8,722.40",4.63M,-5.33%
11/10/2019,"8,497.30","8,804.70","9,092.90","8,437.10",4.02M,-3.49%
11/17/2019,"7,324.10","8,497.40","8,631.70","6,818.50",6.19M,-13.81%
11/24/2019,"7,546.60","7,325.00","7,825.30","6,534.80",6.29M,3.04%
12/01/2019,"7,510.90","7,546.50","7,702.20","7,113.60",5.17M,-0.47%
12/08/2019,"7,080.80","7,510.80","7,626.00","7,043.30",3.88M,-5.73%
12/15/2019,"7,156.20","7,080.80","7,387.70","6,462.20",5.22M,1.07%
12/22/2019,"7,321.50","7,156.30","7,684.00","7,128.50",5.29M,2.31%
12/29/2019,"7,376.80","7,321.60","7,518.90","6,884.10",4.70M,0.75%
01/05/2020,"8,024.10","7,376.80","8,436.40","7,345.60",6.53M,8.78%
01/12/2020,"8,916.30","8,023.30","9,005.10","7,973.10",6.33M,11.12%
01/19/2020,"8,341.60","8,916.30","9,183.70","8,242.60",4.60M,-6.45%
01/26/2020,"9,381.60","8,341.60","9,569.00","8,304.90",4.89M,12.47%
02/02/2020,"9,895.50","9,381.50","9,931.20","9,381.50",4.78M,5.48%
02/09/2020,"9,907.70","9,895.40","10,482.60","9,725.10",5.39M,0.12%
02/16/2020,"9,655.70","9,907.40","10,230.90","9,424.30",5.93M,-2.54%
02/23/2020,"8,543.70","9,655.60","9,981.00","8,451.90",7.28M,-11.52%
03/01/2020,"8,887.80","8,543.80","9,180.80","8,437.20",6.44M,4.03%
03/08/2020,"5,182.70","8,887.80","8,888.00","3,869.50",16.09M,-41.69%
03/15/2020,"6,186.20","5,182.90","6,858.10","4,477.70",14.45M,19.36%
03/22/2020,"6,233.70","6,186.90","6,930.20","5,710.80",10.15M,0.77%
03/29/2020,"6,857.40","6,233.20","7,182.70","5,872.50",9.18M,10.01%
04/05/2020,"6,867.80","6,857.50","7,440.30","6,686.00",8.36M,0.15%
04/12/2020,"7,230.80","6,867.90","7,259.40","6,520.50",7.48M,5.29%
04/19/2020,"7,540.40","7,230.90","7,684.60","6,771.20",12.22M,4.28%
04/26/2020,"8,966.30","7,540.40","9,437.50","7,520.50",8.77M,18.91%
05/03/2020,"9,554.60","8,966.20","10,033.00","8,553.20",9.63M,6.56%
05/10/2020,"9,379.50","9,553.90","9,887.50","8,235.60",12.52M,-1.83%
05/17/2020,"9,177.00","9,376.60","9,930.20","8,833.60",7.89M,-2.16%
05/24/2020,"9,692.50","9,177.90","9,729.90","8,666.10",6.17M,5.62%
05/31/2020,"9,669.60","9,692.90","10,301.80","9,347.30",4.72M,-0.24%
06/07/2020,"9,471.30","9,669.60","9,970.90","9,139.10",3.94M,-2.05%
06/14/2020,"9,358.80","9,470.70","9,577.10","8,925.60",3.38M,-1.19%
06/21/2020,"9,008.30","9,358.80","9,751.90","8,865.30",3.24M,-3.74%
06/28/2020,"9,134.40","9,008.40","9,289.00","8,950.20",2.61M,1.40%
07/05/2020,"9,233.30","9,134.30","9,458.30","8,932.10",3.03M,1.08%
07/12/2020,"9,170.20","9,234.20","9,337.80","9,052.00",2.76M,-0.68%
07/19/2020,"9,704.10","9,170.10","9,729.30","9,106.40",2.56M,5.82%
07/26/2020,"11,803.10","10,961.10","11,847.70","10,771.80",4.12M,21.63%
08/02/2020,"11,764.30","11,802.60","12,061.10","10,730.70",3.74M,-0.33%
08/09/2020,"11,845.30","11,764.40","12,041.10","11,146.70",3.46M,0.69%
08/16/2020,"11,661.30","11,845.50","12,444.10","11,382.10",3.65M,-1.55%
08/23/2020,"11,468.10","11,661.10","11,824.60","11,131.00",3.40M,-1.66%
08/30/2020,"10,092.20","11,468.10","12,045.90","9,897.80",56.56M,-12.00%
09/06/2020,"10,441.90","10,092.20","10,480.30","9,877.10",24.92M,3.47%
09/13/2020,"11,081.80","10,441.70","11,177.10","10,219.40",552.84K,6.13%
09/20/2020,"10,727.90","11,081.60","11,081.60","10,146.60",521.93K,-3.19%
09/27/2020,"10,544.20","10,727.90","10,946.60","10,387.60",473.68K,-1.71%
10/04/2020,"11,298.40","10,544.40","11,475.00","10,520.80",415.50K,7.15%
10/11/2020,"11,362.10","11,295.60","11,715.90","11,224.60",458.66K,0.56%
10/18/2020,"13,117.20","11,362.10","13,213.50","11,349.80",649.57K,15.45%
10/25/2020,"13,797.30","13,117.00","14,065.40","12,792.40",737.16K,5.18%
11/01/2020,"14,828.40","13,795.50","15,955.20","13,214.20",969.23K,7.47%
11/08/2020,"16,071.00","14,826.60","16,474.10","14,720.70",849.61K,8.38%
11/15/2020,"18,687.20","16,074.70","18,966.00","15,782.30",985.86K,16.28%
11/22/2020,"17,730.70","18,394.60","19,486.70","16,235.20",1.15M,-5.12%
11/29/2020,"19,146.50","17,729.70","19,897.40","17,530.40",883.70K,7.99%
12/06/2020,"18,808.90","19,146.00","19,424.60","17,600.10",642.93K,-1.76%
12/13/2020,"23,844.00","18,808.10","24,107.10","18,716.80",1.01M,26.77%
12/20/2020,"26,454.40","23,843.60","26,826.00","22,015.50",805.84K,10.95%
12/27/2020,"32,193.30","26,460.30","33,233.50","25,858.20",962.22K,21.69%
01/03/2021,"40,151.90","32,192.90","41,921.70","28,204.50",1.57M,24.72%
01/10/2021,"36,019.50","40,149.70","41,362.40","30,411.60",1.40M,-10.29%
01/17/2021,"32,088.90","36,020.10","37,821.00","28,871.20",1.14M,-10.91%
01/24/2021,"34,283.10","32,088.50","38,546.00","29,290.40",1.38M,6.84%
01/31/2021,"39,256.60","34,281.60","40,939.70","32,189.90",844.34K,14.51%
02/07/2021,"47,168.70","39,228.90","48,927.40","37,381.60",1.12M,20.16%
